B2,B3,B4,BonusBall
3,4,33,29
4,6,14,35
21,30,33,6
8,11,12,20
3,7,31,20
16,32,34,13
6,20,30,13
15,18,33,9
14,17,22,19
18,24,27,17
3,24,30,3
17,27,28,16
5,25,30,3
7,19,33,32
4,13,16,17
25,27,32,17
7,8,10,25
13,30,31,32
13,23,34,13
7,30,34,33
6,17,20,2
10,19,20,8
4,10,31,15
10,12,32,10
17,29,34,2
17,27,30,33
9,14,18,24
8,18,30,25
6,15,21,1
18,23,30,1
18,20,31,5
4,16,24,28
10,19,29,21
12,24,34,5
3,19,24,29
12,31,33,21
9,30,32,21
5,6,32,26
9,16,27,33
24,26,34,23
3,6,33,3
11,27,30,1
14,24,28,28
16,21,28,25
5,20,35,4
8,12,22,5
7,17,34,21
6,11,19,30
22,28,33,16
13,17,23,23
7,8,27,29
14,23,32,21
12,22,24,11
4,14,31,7
5,12,13,16
3,9,28,3
9,24,32,28
3,20,28,5
3,17,22,13
22,23,26,15
7,24,25,2
5,11,30,11
24,25,29,31
11,19,20,6
11,17,20,11
15,22,29,32
17,23,35,28
10,13,24,7
16,17,24,5
20,24,28,11
17,23,28,25
6,9,18,18
7,18,21,18
12,30,35,8
15,29,33,15
5,8,22,25
15,23,24,31
10,12,17,13
8,11,27,28
14,19,25,11
9,11,28,8
3,11,30,17
10,16,34,7
5,13,35,27
21,24,35,3
9,15,31,12
3,7,17,24
14,16,24,34
13,17,32,6
25,28,29,32
7,15,18,17
15,18,20,5
3,11,29,17
11,27,34,10
15,19,34,8
6,8,16,2
15,16,17,3
10,30,34,30
5,10,19,20
3,26,27,11
9,19,32,34
16,22,26,21
20,22,25,4
3,15,34,17
9,14,21,21
19,30,33,2
15,21,32,24
5,16,30,33
17,22,30,19
12,13,14,31
13,28,32,10
8,28,31,23
23,34,35,33
16,18,26,19
6,29,34,30
6,15,24,13
4,24,30,5
6,21,25,2
4,24,27,33
18,24,25,10
6,19,20,26
15,30,35,23
13,27,29,16
8,27,31,4
5,12,22,13
12,20,25,2
6,15,28,11
8,20,23,1
18,21,26,3
8,13,31,2
14,30,31,1
14,24,29,3
3,13,14,13
7,10,24,17
5,17,21,1
12,14,26,4
18,20,24,8
6,27,34,28
4,18,22,4
15,21,31,19
7,13,22,28
6,14,34,30
17,20,24,17
4,6,16,34
24,25,34,3
15,20,22,23
3,12,28,23
5,18,30,33
14,18,33,22
3,28,34,30
14,27,35,24
3,14,30,4
6,10,30,31
11,24,29,11
26,29,33,32
5,23,28,16
7,20,26,30
6,12,31,2
3,19,27,17
27,29,31,14
10,27,28,11
13,23,32,29
4,30,35,11
22,29,32,32
4,16,24,30
5,25,35,28
7,16,28,13
5,18,27,30
9,10,30,3
13,32,33,12
18,29,30,3
8,25,33,16
10,12,17,34
7,17,30,13
14,23,25,19
12,30,34,18
4,31,34,9
12,20,27,9
5,18,21,31
19,29,35,24
7,10,19,20
12,19,29,27
6,27,31,20
19,20,33,6
4,10,23,16
20,27,33,12
8,27,35,30
9,10,21,21
4,20,24,14
8,19,25,12
20,23,29,4
7,13,23,32
6,10,25,34
5,22,30,9
6,16,19,14
26,28,33,25
14,18,24,28
15,27,33,24
15,16,34,32
5,8,22,13
7,9,21,2
10,24,26,34
5,6,24,1
10,22,34,30
14,32,34,18
4,12,20,18
6,27,31,6
4,26,31,3
3,9,15,16
13,21,26,27
3,15,31,19
11,16,22,22
14,17,22,35
10,16,34,11
3,18,23,8
18,19,25,33
13,32,34,17
3,7,18,32
26,31,32,26
11,26,35,25
13,24,26,16
8,26,29,24
10,15,16,12
13,24,35,19
23,24,30,6
7,29,33,3
9,25,30,26
16,19,35,22
7,20,24,30
5,21,26,24
21,29,33,21
16,24,28,13
4,15,30,6
25,26,28,5
9,12,32,3
8,20,35,8
