B1,B2,B3,B4,BonusBall
9,10,13,22,1
4,23,30,34,13
3,18,29,33,17
17,23,28,35,20
4,11,16,28,31
4,28,32,34,20
2,3,4,33,29
6,10,21,31,21
7,20,24,25,35
16,23,25,30,25
8,20,21,31,4
3,17,23,28,22
9,15,30,33,28
8,11,26,27,11
2,4,6,14,35
12,18,22,32,2
14,19,23,32,9
6,9,20,27,29
10,12,16,35,11
1,16,18,19,5
2,21,30,33,6
11,16,17,30,33
2,8,11,12,20
3,9,11,28,24
8,16,17,18,35
3,9,19,30,19
1,5,15,18,15
2,3,7,31,20
11,22,26,27,21
9,26,28,32,3
2,16,32,34,13
1,11,17,25,17
5,14,26,28,24
8,9,16,17,35
3,17,22,31,5
9,18,19,25,10
1,5,24,25,7
4,6,9,35,32
5,14,22,29,11
2,6,20,30,13
22,25,28,34,32
3,14,25,27,13
6,17,28,33,16
2,15,18,33,9
12,17,18,23,6
15,30,33,34,31
4,23,25,27,16
6,16,17,20,23
16,23,31,35,11
12,25,28,31,6
1,14,15,35,24
17,18,24,26,32
10,11,18,26,15
11,21,33,34,35
4,8,18,21,19
3,12,17,18,5
3,8,20,26,14
7,9,10,32,34
3,8,17,27,20
3,6,21,26,33
11,12,16,29,33
10,25,28,34,28
1,3,5,20,30
2,14,17,22,19
2,18,24,27,17
8,15,23,25,25
16,19,22,28,7
15,18,22,30,28
2,3,24,30,3
3,19,24,32,26
11,22,23,27,32
18,24,29,32,6
3,24,29,35,9
1,3,17,34,5
10,16,18,29,2
13,14,26,29,16
7,16,33,35,10
16,17,18,21,5
23,25,27,32,25
4,10,23,33,25
3,18,33,35,15
11,23,31,33,18
6,7,8,35,3
5,29,31,35,18
11,28,32,33,20
5,20,26,35,2
3,14,21,30,12
22,26,29,34,22
4,6,19,25,32
2,17,27,28,16
6,12,20,28,34
3,5,19,20,32
2,5,25,30,3
1,5,10,13,22
8,10,12,16,33
7,13,28,32,6
13,18,20,22,19
4,9,15,27,33
3,4,12,19,23
3,14,17,18,3
4,6,14,26,28
21,22,26,33,27
19,20,31,35,23
16,25,26,27,21
12,25,27,34,2
1,14,23,34,10
5,14,18,31,8
5,10,21,28,15
6,11,33,35,9
10,20,23,30,3
9,12,28,33,15
20,30,32,33,18
6,9,13,32,21
11,13,20,24,20
9,10,15,35,4
6,10,16,35,23
3,4,28,30,1
7,11,12,30,13
6,18,19,26,11
8,13,19,29,30
3,4,25,33,25
7,19,22,23,17
12,16,20,21,19
13,14,30,35,19
18,27,30,34,2
12,17,18,28,18
17,27,31,35,20
15,23,25,35,18
4,5,15,29,4
13,20,31,33,7
3,7,12,34,10
3,22,26,30,29
11,25,28,29,25
26,31,33,35,8
6,11,21,31,6
3,12,33,35,17
6,7,14,31,2
7,10,23,28,12
15,17,33,35,20
6,16,24,29,7
5,10,24,30,29
15,16,19,22,4
15,16,22,30,22
15,25,30,33,30
7,22,28,34,30
1,5,8,18,17
4,16,23,34,5
9,16,18,24,15
8,15,19,35,5
5,7,26,30,35
1,9,19,27,24
3,9,13,32,7
6,10,18,30,28
2,7,19,33,32
7,12,15,34,11
9,11,13,14,1
10,13,23,28,13
15,18,21,28,29
2,4,13,16,17
4,25,30,33,9
5,23,30,33,13
2,25,27,32,17
2,7,8,10,25
4,16,22,33,10
7,8,10,27,30
4,16,26,30,33
4,9,20,24,20
3,7,12,24,19
3,4,22,26,29
2,13,30,31,32
14,18,23,24,27
2,13,23,34,13
4,10,17,32,24
18,20,23,30,31
11,18,22,27,9
4,15,20,33,11
3,5,9,26,20
1,5,11,24,7
9,19,28,30,30
12,19,21,27,24
10,24,25,31,14
7,8,16,35,26
6,7,13,27,23
11,12,21,29,31
14,23,28,34,4
15,26,29,30,28
1,19,20,21,12
7,10,16,19,32
22,26,29,30,4
2,7,30,34,33
17,23,32,35,17
1,23,25,32,3
10,24,28,35,26
4,12,27,33,24
5,8,29,30,29
4,6,13,29,13
3,23,31,35,4
15,20,28,32,30
7,18,21,29,17
20,23,26,29,27
3,10,31,34,22
8,12,25,30,2
5,7,9,10,34
3,10,11,25,35
8,16,29,34,21
7,14,29,30,23
5,7,9,14,25
4,13,21,22,31
15,20,25,35,30
16,24,30,34,11
1,14,24,27,7
9,11,27,34,25
1,2,21,33,11
2,6,17,20,2
13,22,26,33,25
1,9,12,20,24
1,11,21,26,28
3,17,20,26,11
3,10,17,24,17
14,18,23,24,18
4,7,10,22,17
1,12,13,35,17
10,19,31,35,23
1,16,21,32,23
1,6,11,34,19
10,25,26,32,21
10,15,31,33,2
6,12,15,23,15
3,9,31,35,31
7,10,17,28,10
7,11,20,33,4
1,10,19,35,25
1,16,30,31,13
11,17,23,35,26
7,28,34,35,1
6,9,15,24,26
11,24,28,31,21
5,21,24,25,29
12,26,27,29,26
9,16,27,34,31
1,8,16,25,9
15,16,22,24,29
6,12,26,35,2
6,9,10,32,9
5,6,14,19,4
1,19,29,32,12
2,10,19,20,8
12,25,26,27,7
1,11,16,34,16
5,11,19,34,20
13,30,31,32,29
16,20,22,25,8
4,18,29,32,16
6,12,21,27,32
5,13,21,24,28
11,19,27,30,17
6,7,33,35,17
6,14,22,24,22
1,11,28,33,20
14,17,26,34,6
19,26,27,28,12
4,20,26,31,10
2,4,10,31,15
1,5,22,31,17
19,23,26,29,11
11,16,20,24,6
4,13,30,32,29
1,6,11,29,33
10,13,14,35,26
3,25,34,35,17
12,25,31,32,16
6,9,21,32,20
2,10,12,32,10
10,13,23,26,17
9,10,17,26,34
2,17,29,34,2
3,4,11,20,23
7,8,21,24,9
20,24,29,33,6
5,22,24,29,34
1,11,15,22,32
6,10,15,31,9
2,17,27,30,33
6,7,13,14,2
3,4,7,30,2
10,19,26,32,3
2,9,14,18,24
4,12,14,26,20
6,8,17,23,29
7,15,26,34,20
3,10,14,35,31
4,8,10,26,34
14,15,21,28,25
4,5,15,22,13
5,17,31,32,20
2,8,18,30,25
2,6,15,21,1
4,11,19,32,35
7,9,20,25,6
7,12,23,27,33
11,16,21,26,11
7,15,19,25,29
1,4,6,14,8
2,18,23,30,1
5,6,24,28,31
1,2,11,27,13
15,20,30,31,20
6,13,25,35,34
1,15,19,34,26
17,27,30,31,4
2,18,20,31,5
8,21,24,35,26
6,17,27,33,35
3,4,5,32,23
19,22,23,33,11
15,17,24,34,14
10,11,16,27,28
12,13,16,26,32
3,8,17,24,24
7,9,22,28,10
12,25,31,33,15
15,16,17,24,4
5,6,18,26,3
14,18,21,22,19
1,8,11,13,33
7,11,14,15,31
18,29,30,34,26
14,23,27,35,19
16,23,29,35,3
9,20,28,31,1
3,9,22,27,28
12,13,25,33,15
1,4,23,28,27
6,24,25,33,9
15,20,22,28,1
3,27,32,33,26
13,20,30,31,19
8,19,23,35,18
1,2,28,35,3
7,10,25,27,8
9,19,21,33,32
1,18,24,35,23
1,18,24,31,28
9,11,16,19,32
8,20,23,30,15
16,17,30,32,19
3,6,31,32,26
8,11,22,35,17
4,13,15,31,34
2,4,16,24,28
16,20,28,33,16
2,10,19,29,21
7,19,27,32,19
4,13,18,24,22
1,4,27,34,3
6,20,24,31,1
2,12,24,34,5
9,18,26,35,14
3,14,27,34,28
1,5,28,32,35
1,8,26,34,6
1,5,30,34,27
4,27,33,35,23
5,14,22,34,17
2,3,19,24,29
5,11,17,20,10
1,9,17,33,1
12,16,25,30,15
4,17,26,27,9
17,22,25,29,15
4,6,27,31,29
1,4,19,24,7
5,16,22,27,26
2,12,31,33,21
2,9,30,32,21
8,19,22,34,25
11,22,23,32,16
4,6,18,35,2
1,7,22,25,31
1,2,3,30,21
4,10,26,29,19
6,10,25,29,10
1,7,16,20,4
1,8,17,24,21
7,10,21,25,34
2,5,6,32,26
8,14,29,31,22
3,12,27,32,9
5,10,15,24,17
10,11,16,28,17
7,11,15,17,25
24,26,30,32,11
11,19,29,35,5
2,9,16,27,33
5,11,22,23,22
6,13,21,26,19
13,16,20,24,32
5,17,22,24,19
5,10,18,33,22
4,8,16,24,13
5,16,17,27,15
7,17,22,23,23
11,24,25,27,25
1,7,12,17,5
6,17,23,33,20
5,11,15,27,33
4,6,8,28,18
